Chihuahua,11.4,,,,
Yucatán,10.2,,,,
Aguascalientes,9.6,,,,
Campeche,9.1,,,,
Colima,8.5,,,,
Guanajuato,7.8,,,,
Quintana Roo,7.7,,,,
Jalisco,7.2,,,,
Baja California Sur,7.1,,,,
Sonora,7.1,,,,
San Luis Potosí,6.4,,,,
Durango,6.4,,,,
Tabasco,6.4,,,,
Nayarit,6,,,,
Nuevo León,5.5,,,,
Coahuila,5.4,,,,
Sinaloa,5.3,,,,
Nacional,5.1,,,,
Chiapas,5.1,,,,
Querétaro,4.9,,,,
Zacatecas,4.7,,,,
Baja California,4.5,,,,
Morelos,4.5,,,,
Ciudad de México,4.2,,,,
Tamaulipas,4.1,,,,
Tlaxcala,4.1,,,,
Michoacán,3.8,,,,
Hidalgo,3.8,,,,
Puebla,3.6,,,,
México,3.3,,,,
Oaxaca,2.9,,,,
Veracruz,2.5,,,,
Guerrero,2.1,,,,